SITE_TYPE,SITECODE,NAME,VARIABLE,VALUE,LABEL,SCORE,DATA_SRCE
ASSI,ASSI123,Caldanagh Bog,Current agircultural emission density (kg NH3/ha/yr),24.7768869188577,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI342,Caledon and Tynan,Current agircultural emission density (kg NH3/ha/yr),129.767537326975,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI302,Carey Valley,Current agircultural emission density (kg NH3/ha/yr),5.57202082869971,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI103,Carlingford Lough,Current agircultural emission density (kg NH3/ha/yr),8.99621430432968,Moderate agricultural emissions,2,Agricultural ammonia emissions
SAC,UK0030110,Carn - Glenshane Pass,Current agircultural emission density (kg NH3/ha/yr),2.27437070920845,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI167,Carn/Glenshane Pass,Current agircultural emission density (kg NH3/ha/yr),2.27437297016607,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI215,Carrickastickan,Current agircultural emission density (kg NH3/ha/yr),7.17917162671985,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI156,Carrowcarlin,Current agircultural emission density (kg NH3/ha/yr),10.960528871344,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI189,Cashel Loughs,Current agircultural emission density (kg NH3/ha/yr),12.5648126694638,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI157,Castle Enigan,Current agircultural emission density (kg NH3/ha/yr),25.285123063274,Very high agricultural emissions,4,Agricultural ammonia emissions
ASSI,ASSI259,Castle River Valley,Current agircultural emission density (kg NH3/ha/yr),5.65739739768268,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI350,Castlecoole,Current agircultural emission density (kg NH3/ha/yr),9.79468034667197,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI193,Castletown,Current agircultural emission density (kg NH3/ha/yr),9.4541593889974,Moderate agricultural emissions,2,Agricultural ammonia emissions
ASSI,ASSI398,Cavan,Current agircultural emission density (kg NH3/ha/yr),4.16735861361286,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI026,Cleggan Valley,Current agircultural emission density (kg NH3/ha/yr),15.6895983851928,High agricultural emissions,3,Agricultural ammonia emissions
ASSI,ASSI409,Clermont & Anglesey Mountain,Current agircultural emission density (kg NH3/ha/yr),2.81011464193552,Low agricultural emissions,1,Agricultural ammonia emissions
ASSI,ASSI392,Cloghcor Lough,Current agircultural emission density (kg NH3/ha/yr),17.0069504738695,High agricultural emissions,3,Agricultural ammonia emissions
