SITE_TYPE,NAME,SITECODE,DepType,VARIABLE,VALUE,SCORE,LABEL,DATA_SRCE
ASSI,Lackan Bog,ASSI037,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),21.0443112237336,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Annacramph Meadows,ASSI038,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),10.6881045368519,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Loughkeelan,ASSI039,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.87153564348615,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Rathlin Island - Ballygill North,ASSI043,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.93866667212239,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Rathlin Island - Ballycarry,ASSI045,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.15552166748411,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Corraslough Point,ASSI048,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.75315556092696,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Lough Foyle,ASSI051,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0,0,No exceedance,N Futures (2016 - 2018 baseline)
ASSI,Inishroosk,ASSI054,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),6.12374499425658,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Crockaghole Wood,ASSI055,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.083183891817,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Drumlea and Mullan Woods,ASSI056,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.4498361549949,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Glenmore Wood,ASSI057,Woodland,Excess Nitrogen (kg N ha-1 yr-1),43.4268378652398,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Strabane Glen,ASSI058,Woodland,Excess Nitrogen (kg N ha-1 yr-1),33.471475999992,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Altmover Glen,ASSI059,Woodland,Excess Nitrogen (kg N ha-1 yr-1),23.7687486406549,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Ness Wood,ASSI060,Woodland,Excess Nitrogen (kg N ha-1 yr-1),19.7618683951241,3,High,N Futures (2016 - 2018 baseline)
ASSI,Ervey Wood,ASSI061,Woodland,Excess Nitrogen (kg N ha-1 yr-1),20.4043469536456,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Owenkillew and Glenelly Woods,ASSI062,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.5074632299605,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Slievenacloy,ASSI063,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),21.9689217602877,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Banagher Glen,ASSI064,Woodland,Excess Nitrogen (kg N ha-1 yr-1),21.7150041475238,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Pettigoe Plateau,ASSI065,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),3.31261071504652,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Pettigoe Plateau,ASSI065,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),2.37633927298825,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Garron Plateau,ASSI067,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),16.0246556000151,3,High,N Futures (2016 - 2018 baseline)
ASSI,Garron Plateau,ASSI067,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.7003581674193,3,High,N Futures (2016 - 2018 baseline)
ASSI,Magilligan,ASSI068,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0.74650309557184,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Cuilcagh Mountain,ASSI069,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),8.36084521560534,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Cuilcagh Mountain,ASSI069,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),7.57388360602949,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Tattenamona Bog,ASSI070,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.35015749205923,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Crom,ASSI071,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),5.32434264377436,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Crom,ASSI071,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.8020670359945,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Curran Bog,ASSI074,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),16.317889665401,3,High,N Futures (2016 - 2018 baseline)
ASSI,Slieve Beagh,ASSI077,Grid Average,Excess Nitrogen (kg N ha-1 yr-1),16.5835978079593,3,High,N Futures (2016 - 2018 baseline)
ASSI,Slieve Beagh,ASSI077,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),14.8712774847765,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Kilroosky Lough,ASSI078,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),18.2639271144209,3,High,N Futures (2016 - 2018 baseline)
ASSI,Derryleckagh,ASSI079,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),18.2005780049964,3,High,N Futures (2016 - 2018 baseline)
ASSI,Derryleckagh,ASSI079,Woodland,Excess Nitrogen (kg N ha-1 yr-1),41.2541224626259,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Summerhill Lough,ASSI080,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.4419498443604,3,High,N Futures (2016 - 2018 baseline)
ASSI,Burdautien Lough,ASSI081,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),18.745069872457,3,High,N Futures (2016 - 2018 baseline)
ASSI,Killard,ASSI086,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),9.58310248549822,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Ballyquintin Point,ASSI087,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.56668337643253,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Teal Lough Part II,ASSI088,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),12.7105354940495,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Murlough,ASSI089,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),14.2266398764093,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Galloon,ASSI090,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),8.07285519240758,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Galloon,ASSI090,Woodland,Excess Nitrogen (kg N ha-1 yr-1),28.1652999169293,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Belleisle,ASSI093,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),3.58668476270226,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Belleisle,ASSI093,Woodland,Excess Nitrogen (kg N ha-1 yr-1),19.313646818906,3,High,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Trannish,ASSI094,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),5.32435734760822,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Upper Lough Erne - Trannish,ASSI094,Woodland,Excess Nitrogen (kg N ha-1 yr-1),22.7338237046777,4,Very High,N Futures (2016 - 2018 baseline)
ASSI,Eastern Mournes,ASSI095,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),19.0932441012649,3,High,N Futures (2016 - 2018 baseline)
ASSI,Carlingford Lough,ASSI103,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0.65323686155936,1,Low,N Futures (2016 - 2018 baseline)
ASSI,Outer Belfast Lough,ASSI104,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),9.57195815854316,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Outer Ards,ASSI105,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),10.6281740798241,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Larne Lough,ASSI106,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),0.224517149208506,1,Low,N Futures (2016 - 2018 baseline)
ASSI,White Park Bay,ASSI107,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),7.27834806787679,2,Moderate,N Futures (2016 - 2018 baseline)
ASSI,Finn Floods,ASSI110,Low-growing semi-natural vegetation,Excess Nitrogen (kg N ha-1 yr-1),15.5172585164758,3,High,N Futures (2016 - 2018 baseline)
