x,y,z,Dep_typ,variable
117500,649500,7.31891822814941,Low-growing semi-natural vegetation,TotN_dep
118500,649500,7.5010347366333,Low-growing semi-natural vegetation,TotN_dep
119500,649500,7.68315124511719,Low-growing semi-natural vegetation,TotN_dep
120500,649500,7.86526775360107,Low-growing semi-natural vegetation,TotN_dep
121500,649500,8.04738426208496,Low-growing semi-natural vegetation,TotN_dep
122500,649500,8.22950077056885,Low-growing semi-natural vegetation,TotN_dep
123500,649500,8.14547538757324,Low-growing semi-natural vegetation,TotN_dep
124500,649500,8.06144905090332,Low-growing semi-natural vegetation,TotN_dep
125500,649500,7.97742366790772,Low-growing semi-natural vegetation,TotN_dep
126500,649500,7.89339780807495,Low-growing semi-natural vegetation,TotN_dep
127500,649500,7.80937194824219,Low-growing semi-natural vegetation,TotN_dep
128500,649500,7.6750922203064,Low-growing semi-natural vegetation,TotN_dep
129500,649500,7.54081153869629,Low-growing semi-natural vegetation,TotN_dep
130500,649500,7.40653133392334,Low-growing semi-natural vegetation,TotN_dep
131500,649500,7.27225112915039,Low-growing semi-natural vegetation,TotN_dep
132500,649500,7.13797092437744,Low-growing semi-natural vegetation,TotN_dep
133500,649500,7.34727954864502,Low-growing semi-natural vegetation,TotN_dep
134500,649500,7.55658912658691,Low-growing semi-natural vegetation,TotN_dep
135500,649500,7.76589822769165,Low-growing semi-natural vegetation,TotN_dep
136500,649500,7.97520685195923,Low-growing semi-natural vegetation,TotN_dep
137500,649500,8.18451595306397,Low-growing semi-natural vegetation,TotN_dep
138500,649500,8.15614318847656,Low-growing semi-natural vegetation,TotN_dep
139500,649500,8.12777137756348,Low-growing semi-natural vegetation,TotN_dep
140500,649500,8.09939861297607,Low-growing semi-natural vegetation,TotN_dep
141500,649500,8.07102584838867,Low-growing semi-natural vegetation,TotN_dep
142500,649500,8.04265308380127,Low-growing semi-natural vegetation,TotN_dep
143500,649500,8.01303577423096,Low-growing semi-natural vegetation,TotN_dep
144500,649500,7.98341798782349,Low-growing semi-natural vegetation,TotN_dep
